2021-05-02: 0
2021-05-03: 2
2021-05-04: 4
2021-05-05: 7
2021-05-06: 5
2021-05-08: 3
2021-05-09: 8
2021-05-10: 2
2021-05-12: 3
2021-05-13: 3
2021-05-14: 1
2021-05-15: 2
2021-05-16: 10
2021-05-17: 11
2021-05-18: 2
2021-05-19: 3
2021-05-20: 3
2021-05-21: 1
2021-05-22: 9
2021-05-23: 5
2021-05-25: 2
2021-05-26: 3
2021-05-27: 4
2021-05-28: 2
2021-05-29: 1
2021-05-30: 7
2021-05-31: 3
2021-06-02: 4
2021-06-03: 2
2021-06-04: 3
2021-06-05: 5
2021-06-06: 6
2021-06-07: 7
2021-06-08: 2
2021-06-09: 2
2021-06-10: 3
2021-06-11: 2
2021-06-12: 7
2021-06-13: 2
2021-06-14: 2
2021-06-15: 4
2021-06-17: 3
2021-06-18: 3
2021-06-19: 1
2021-06-20: 17
2021-06-21: 9
2021-06-22: 10
2021-06-23: 7
2021-06-24: 10
2021-06-25: 5
2021-06-26: 3
2021-06-27: 4
2021-06-28: 6
2021-06-29: 2
2021-06-30: 7
2021-07-01: 4
2021-07-02: 4
2021-07-03: 6
2021-07-04: 2
2021-07-05: 8
2021-07-06: 244
2021-07-07: 4
2021-07-08: 10
2021-07-09: 8
2021-07-10: 1
2021-07-11: 17
2021-07-12: 7
2021-07-13: 1
2021-07-14: 4
2021-07-15: 3
2021-07-16: 6
2021-07-17: 4
2021-07-18: 9
2021-07-19: 8
2021-07-20: 5
2021-07-21: 6
2021-07-22: 8
2021-07-23: 4
2021-07-24: 9
2021-07-25: 14
2021-07-26: 4
2021-07-27: 1
2021-07-28: 1
2021-07-29: 1
2021-07-30: 1
2021-07-31: 3
2021-08-01: 3
2021-08-02: 34
2021-08-03: 5
2021-08-04: 7
2021-08-05: 2
2021-08-06: 1
2021-08-07: 5
2021-08-08: 4
2021-08-09: 9
2021-08-10: 2
2021-08-11: 6
2021-08-12: 14
2021-08-13: 6
2021-08-14: 7
2021-08-15: 2
2021-08-16: 2
2021-08-17: 13
2021-08-18: 29
2021-08-19: 10
2021-08-20: 7
2021-08-21: 6
2021-08-22: 2
2021-08-23: 5
2021-08-24: 9
2021-08-25: 5
2021-08-26: 2
2021-08-27: 2
2021-08-28: 2
2021-08-29: 8
2021-08-30: 6
2021-08-31: 5
2021-09-01: 2
2021-09-03: 2
2021-09-04: 3
2021-09-05: 2
2021-09-06: 8
2021-09-07: 1
2021-09-08: 1
2021-09-10: 3
2021-09-11: 2
2021-09-12: 11
2021-09-14: 2
2021-09-15: 4
2021-09-16: 2
2021-09-17: 2
2021-09-18: 1
2021-09-19: 1
2021-09-20: 5
2021-09-21: 1
2021-09-22: 1
2021-09-23: 2
2021-09-25: 8
2021-09-26: 2
2021-09-27: 5
2021-09-29: 3
2021-09-30: 3
2021-10-01: 4
2021-10-02: 2
2021-10-03: 3
2021-10-04: 2
2021-10-05: 5
2021-10-06: 5
2021-10-07: 3
2021-10-09: 1
2021-10-10: 2
2021-10-11: 2
2021-10-12: 2
2021-10-13: 1
2021-10-14: 1
2021-10-15: 2
2021-10-16: 1
2021-10-17: 2
2021-10-18: 1
2021-10-20: 10
2021-10-21: 11
2021-10-22: 4
2021-10-24: 2
2021-10-25: 1
2021-10-26: 2
2021-10-27: 1
2021-10-29: 3
2021-10-30: 17
2021-10-31: 11
2021-11-01: 4
2021-11-02: 2
2021-11-03: 3
2021-11-04: 2
2021-11-06: 1
2021-11-07: 2
2021-11-08: 2
2021-11-09: 2
2021-11-10: 4
2021-11-11: 3
2021-11-12: 5
2021-11-13: 7
2021-11-14: 12
2021-11-16: 20
2021-11-17: 2
2021-11-18: 14
2021-11-19: 15
2021-11-20: 9
2021-11-21: 5
2021-11-22: 2
2021-11-23: 15
2021-11-24: 7
2021-11-25: 3
2021-11-26: 1
2021-11-27: 4
2021-11-28: 7
2021-11-29: 6
2021-11-30: 6
2021-12-01: 3
2021-12-02: 3
2021-12-03: 1
2021-12-04: 2
2021-12-05: 2
2021-12-06: 7
2021-12-07: 13
2021-12-08: 1
2021-12-09: 2
2021-12-11: 4
2021-12-12: 9
2021-12-13: 4
2021-12-14: 9
2021-12-15: 6
2021-12-16: 6
2021-12-17: 6
2021-12-18: 1
2021-12-19: 7
2021-12-21: 7
2021-12-22: 2
2021-12-23: 7
2021-12-24: 3
2021-12-25: 20
2021-12-26: 10
2021-12-27: 9
2021-12-28: 19
2021-12-29: 15
2021-12-30: 2
2021-12-31: 3
2022-01-01: 7
2022-01-02: 10
2022-01-03: 2
2022-01-04: 4
2022-01-05: 5
2022-01-06: 6
2022-01-08: 18
2022-01-09: 5
2022-01-10: 1
2022-01-11: 4
2022-01-12: 2
2022-01-13: 3
2022-01-14: 2
2022-01-15: 2
2022-01-16: 7
2022-01-17: 1
2022-01-18: 4
2022-01-19: 7
2022-01-20: 5
2022-01-21: 1
2022-01-22: 4
2022-01-24: 1
2022-01-25: 8
2022-01-26: 4
2022-01-27: 8
2022-01-28: 5
2022-01-29: 2
